domain,obs_level,archive,Q,S,n_hyps,true_goal_index
campus,10,bui-campus_generic_hyp-0_10_1.tar.bz2,1.0,1,2,0
campus,10,bui-campus_generic_hyp-0_10_10.tar.bz2,0.0,1,2,1
